Agency,Grand Total
AAPA IT MANAGEMENT,0.0191450119018555
AGD COMMUNITY SERVICES,0.19255828857421875
AGD CORPORATE SERVICES,0.04092216491699219
AGD CORRECTIONAL SERVICES,2.11630916595459
AGD COURT SERVICES,98256.98360729218
AGD FINES RECOVERY UNIT,0.004155158996582031
AGD LEGAL SERVICES,0.055389404296875
AGD OFFICE OF CRIME PREVENTION,0.2805624008178711
ARCHIVE IN PROGRESS,0.31745147705078125
BATCHELOR INSTITUTE OF INDIGENOUS TERTIARY EDUCATION,0.13805389404296875
CHIEF MINISTER,0.8839693069458008
DCDD AGS - ASNEX,28057.44190979004
DCDD AGS - GAS SUPPORT,509709.2265024185
DCDD APPLICATION DEVELOPMENT,3.462355613708496
DCDD CIS IT SERVICES MANAGEMENT,458.77427101135254
DCDD DCD BUDGETS & COMMERCIAL,1769.027421951294
DCDD DCD HUMAN RESOURCES PAPMS,72698.41991519928
DCDD DCD HUMAN RESOURCES PIPS AND MYHR,400223.5332927704
DCDD DCS BUSINESS SUPPORT,9.634500503540039
DCDD DCS MIDRANGE SERVICES,2.734182357788086
DCDD NT FLEET,48419.96161556244
DEPARTMENT OF AGRICULTURE AND FISHERIES,0.31453609466552734
DEPARTMENT OF HOUSING  LOCAL GOVERNMENT AND COMMUNITY DEVELOPMENT,29661.130172729492
DEPARTMENT OF LANDS  PLANNING AND THE ENVIRONMENT,0.3812856674194336
DEPARTMENT OF TOURISM & HOSPITALITY,0.7271928787231445
DEPARTMENT OF TREASURY AND FINANCE,0.5698051452636719
DEPT OF LEGISLATIVE ASSEMBLY,0.21744918823242188
"DEPT OF PEOPLE, SPORT & CULTUR",0.06315231323242188
DET - CORPORATE COMMUNICATION,0.6396675109863281
DHLGCD IT MANAGEMENT,1248.6249990463257
DIPL INFRASTRUCTURE PLANNING AND LOGISTICS,9.393091201782227
DIPL INFRASTRUCTURE SERVICES,17.430041313171387
DIPL TRANSPORT,150755.41430091858
DLI - LOGISTICS AND INFRASTRUCTURE,81.17253303527832
DOH IT MANAGEMENT,62.265862464904785
DTF APEX,1668.305811882019
DTSC DARWIN WATERFRONT CORPORATION,0.6310386657714844
INDEPENDENT COMMISSIONER AGAINST CORRUPTION,0.03509044647216797
NT FIRE AND EMERGENCY SERVICES,0.29753684997558594
NORTHERN TERRITORY POLICE,8913.700554847717
NTTC IT MANAGEMENT,0.1188039779663086
OBM IT MANAGEMENT,0.07703304290771484
TF TERRITORY FAMILIES,1.4047260284423828
