ORG,ASSET NO.,TAC CODE,ACQ CODE,COST CENTRE,RETIRE CODE,RETIRE DATE,ACQ DATE,COST BASIS,ACCUM DEPN,CURR DEPN,YTD DEPN,YTD DEPN OTHER,CASH PROCEEDS,NON CASH PROCEEDS,CREATE DATE,SPECIFIC DESCRIPTION,FA400 STAT,EST LIFE YYY/MM,RUN DATE,MAKE,MODEL,SERIAL NO.,LOCATION,Asset Class
66,344124,119,1,1062,,,2020-01-01,26913.64,15475.34,224.28,672.84,0.0,,,2020-06-17,GDC FIRE SUPRESSION FITOU,1,10Yr 00Mth,2025-09-30,CONSTRUCTION FI TOUT, ,,GOV_DATA_CNT,1
66,341654,122,1,1011,,,2018-07-01,1031035,1031035,0.0,0.0,0.0,,,2018-08-17,IBM Z14SF MODEL ZR1,1,4Yr 00Mth,2025-09-30,IBM ,Z14 MODEL ZR1,8409C08,31_HARVEY_ST,1
66,344195,122,1,1011,,,2020-01-01,80795.25,80795.25,0.0,0.0,0.0,,,2020-06-29,IBM SAN48B GDC SWITCH,1,4Yr 00Mth,2025-09-30,IBM ,SAN48B -5 ,,GOV_DATA_CNT,1
66,344351,122,1,1011,,,2020-10-01,1090000.0,1090000.0,0.0,0.0,0.0,,,2020-11-17,IBM Z15 T02 MAINFRAME,1,4Yr 00Mth,2025-09-30,IBM ,Z15 T02 ,0040DC8,27_HARVEY_ST,1
66,500588,122,1,1011,,,2023-07-01,7500.0,3375.0,125.0,375.0,0.0,,,2023-08-10,SWCH-03,1,5Yr 00Mth,2025-09-30,IBM ,SAN64B-7 ,75-4807Z,GOV_DATA_CNT,1
66,500589,122,1,1011,,,2023-07-01,1182000.0,664875,24625.0,73875.0,0.0,,,2023-08-11,Z16 MAINFRAME,1,4Yr 00Mth,2025-09-30,IBM ,003932.AGZ ,IBM02000000091308,GOV_DATA_CNT,1
66,500590,122,1,1011,,,2023-07-01,7500.0,3375.0,125.0,375.0,0.0,,,2023-08-10,SWCH-04,1,5Yr 00Mth,2025-09-30,IBM ,SAN64B-7 ,75-4807D,GOV_DATA_CNT,1
66,500591,122,1,1011,,,2023-07-01,160000.0,72000.01,2666.67,8000.01,0.0,,,2023-08-10,TS7770 VTS SERVER,1,5Yr 00Mth,2025-09-30,IBM ,TS7770 ,78HDHH2,GOV_DATA_CNT,1
66,500592,122,1,1011,,,2023-07-01,7500.0,3375.0,125.0,375.0,0.0,,,2023-08-10,SWCH-01,1,5Yr 00Mth,2025-09-30,IBM ,SAN64B-7 ,75-4808B,27_HARVEY_ST,1
66,500593,122,1,1011,,,2023-07-01,7500.0,3375.0,125.0,375.0,0.0,,,2023-08-10,SWCH-02,1,5Yr 00Mth,2025-09-30,IBM ,SAN64B-7 ,75-4808C,27_HARVEY_ST,1
66,500594,122,1,1011,,,2023-07-01,160000.0,72000.01,2666.67,8000.01,0.0,,,2023-08-10,TS7770 VTS SERVER,1,5Yr 00Mth,2025-09-30,IBM ,TS7770 ,78HDHK2,27_HARVEY_ST,1
66,500595,122,1,1011,,,2023-07-01,250000.0,112500.01,4166.67,12500.01,0.0,,,2023-08-10,DS8910F,1,5Yr 00Mth,2025-09-30,IBM ,DS8910F ,75-LTP00,GOV_DATA_CNT,1
66,500596,122,1,1011,,,2023-07-01,250000.0,112500.01,4166.67,12500.01,0.0,,,2023-08-10,DS8910F,1,5Yr 00Mth,2025-09-30,IBM ,DS8910F ,75-LTG20,27_HARVEY_ST,1
66,500609,122,1,1011,,,2023-07-01,97000.0,97000.0,0.0,0.0,0.0,,,2023-08-30,Z15 MEMORY,1,2Yr 00Mth,2025-09-30,IBM ,Z15 ,40DC8,BACKUP_DATA,1
66,501965,122,1,1011,,,2022-09-01,57500.0,57500.0,0.0,0.0,0.0,,,2023-06-16,Z14 MEMORY,1,2Yr 00Mth,2025-09-30,IBM ,3907-ZR1 ,09C08,27_HARVEY_ST,1
66,501973,122,1,1011,,,2023-07-01,14760.0,14760.0,0.0,0.0,0.0,,,2023-08-10,POWER RACK,1,1Yr 00Mth,2025-09-30,IBM ,POWER RACK ,01AL468-YL1DGF310066,GOV_DATA_CNT,1
66,344496,122,1,1021,,,2021-05-03,19974.29,19974.29,0.0,0.0,0.0,,,2021-06-10,VEEAM PHYSICAL PROXY,1,3Yr 00Mth,2025-09-30,HP ,DL360 GEN1 0,SGH112VD9F,GOV_DATA_CNT,1
66,344497,122,1,1021,,,2021-05-03,19974.29,19974.29,0.0,0.0,0.0,,,2021-06-10,VEEAM PHYSICAL PROXY,1,3Yr 00Mth,2025-09-30,HP ,DL360 GEN1 0,SGH112VD9C,GOV_DATA_CNT,1
66,344498,122,1,1021,,,2021-05-03,19974.29,19974.29,0.0,0.0,0.0,,,2021-06-10,VEEAM PHYSICAL PROXY,1,3Yr 00Mth,2025-09-30,HP ,DL360 GEN1 0,SGH112VD99,GOV_DATA_CNT,1
66,344499,122,1,1021,,,2021-05-03,19974.29,19974.29,0.0,0.0,0.0,,,2021-06-10,VEEAM PHYSICAL PROXY,1,3Yr 00Mth,2025-09-30,HP ,DL360 GEN1 0,SGH112VD9H,GOV_DATA_CNT,1
66,500692,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4H01T,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L365 G10 +,SGH341HRP5,GOV_DATA_CNT,1
66,500693,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4H05P,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L365 G10 +,SGH342KJR9,GOV_DATA_CNT,1
66,500694,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4H06P,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L365 G10 +,SGH342KJR6,GOV_DATA_CNT,1
66,500695,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4H07P,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L365 G10 +,SGH342KJR3,GOV_DATA_CNT,1
66,500696,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4H08P,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L365 G10 +,SGH342KJR0,GOV_DATA_CNT,1
66,500697,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4H09P,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L365 G10 +,SGH342KJQX,GOV_DATA_CNT,1
66,500698,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4H10P,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L365 G10 +,SGH342KJQT,GOV_DATA_CNT,1
66,500699,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4H11P,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L365 G10 +,SGH342KJQQ,GOV_DATA_CNT,1
66,500700,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4I01T,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L360 G10 +,SGH341HRP7,GOV_DATA_CNT,1
66,500701,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4I04P,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L360 G10 +,SGH341HRSD,GOV_DATA_CNT,1
66,500702,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4I05P,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L365 G10 +,SGH342KJQM,GOV_DATA_CNT,1
66,500703,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4I06P,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L365 G10 +,SGH342KJQJ,GOV_DATA_CNT,1
66,500704,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4I07P,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L365 G10 +,SGH342KJQF,GOV_DATA_CNT,1
66,500705,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4I08P,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L365 G10 +,SGH342KJQB,GOV_DATA_CNT,1
66,500706,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4I09P,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L365 G10 +,SGH342KJQ7,GOV_DATA_CNT,1
66,500707,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXGDCR4I10P,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L365 G10 +,SGH342KJQ4,GOV_DATA_CNT,1
66,500708,122,1,1021,,,2024-01-02,28926.29,16873.68,803.51,2410.53,0.0,,,2024-01-30,DCSESXBDCRE701P,1,3Yr 00Mth,2025-09-30,HPE ,PROLIANT D L365 G10 +,SGH341HS3W,27_HARVEY_ST,1
