Agency,Date,RType,TypeTask,Resource,Application,TranName,CPU Secs
AAPA IT MANAGEMENT,2025-03-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CESN,0.1
AAPA IT MANAGEMENT,2025-03-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZCL,0.04
AAPA IT MANAGEMENT,2025-03-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZNE,0.29
AAPA IT MANAGEMENT,2025-04-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CESN,0.16
AAPA IT MANAGEMENT,2025-04-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,MENU,0.0
AAPA IT MANAGEMENT,2025-04-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,X,0.0
AAPA IT MANAGEMENT,2025-04-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZCL,0.07
AAPA IT MANAGEMENT,2025-04-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZNE,0.45
AAPA IT MANAGEMENT,2025-05-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CESN,0.09
AAPA IT MANAGEMENT,2025-05-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZCL,0.04
AAPA IT MANAGEMENT,2025-05-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZNE,0.3
AAPA IT MANAGEMENT,2025-06-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CESN,0.04
AAPA IT MANAGEMENT,2025-06-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZCL,0.02
AAPA IT MANAGEMENT,2025-06-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZNE,0.14
AAPA IT MANAGEMENT,2025-07-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CESN,0.05
AAPA IT MANAGEMENT,2025-07-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZCL,0.02
AAPA IT MANAGEMENT,2025-07-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZNE,0.15
AAPA IT MANAGEMENT,2025-08-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CESN,0.13
AAPA IT MANAGEMENT,2025-08-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CSAC,0.0
AAPA IT MANAGEMENT,2025-08-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,MENU,0.0
AAPA IT MANAGEMENT,2025-08-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZCL,0.06
AAPA IT MANAGEMENT,2025-08-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZNE,0.37
AAPA IT MANAGEMENT,2025-09-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CESN,0.1
AAPA IT MANAGEMENT,2025-09-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CSAC,0.0
AAPA IT MANAGEMENT,2025-09-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,MENU,0.01
AAPA IT MANAGEMENT,2025-09-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,X,0.0
AAPA IT MANAGEMENT,2025-09-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZCL,0.05
AAPA IT MANAGEMENT,2025-09-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZNE,0.33
AAPA IT MANAGEMENT,2025-10-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CESN,0.09
AAPA IT MANAGEMENT,2025-10-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CSAC,0.0
AAPA IT MANAGEMENT,2025-10-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,MENU,0.0
AAPA IT MANAGEMENT,2025-10-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZCL,0.04
AAPA IT MANAGEMENT,2025-10-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZNE,0.29
AAPA IT MANAGEMENT,2025-11-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CESN,0.12
AAPA IT MANAGEMENT,2025-11-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,MENU,0.0
AAPA IT MANAGEMENT,2025-11-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZCL,0.05
AAPA IT MANAGEMENT,2025-11-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZNE,0.35
AAPA IT MANAGEMENT,2025-12-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CESN,0.14
AAPA IT MANAGEMENT,2025-12-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,MENU,0.0
AAPA IT MANAGEMENT,2025-12-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZCL,0.06
AAPA IT MANAGEMENT,2025-12-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZNE,0.41
AAPA IT MANAGEMENT,2026-01-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CESN,0.11
AAPA IT MANAGEMENT,2026-01-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,MENU,0.01
AAPA IT MANAGEMENT,2026-01-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZCL,0.04
AAPA IT MANAGEMENT,2026-01-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZNE,0.33
AAPA IT MANAGEMENT,2026-02-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CESN,0.07
AAPA IT MANAGEMENT,2026-02-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CSAC,0.01
AAPA IT MANAGEMENT,2026-02-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,MENU,0.02
AAPA IT MANAGEMENT,2026-02-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZCL,0.03
AAPA IT MANAGEMENT,2026-02-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZNE,0.18
AGD COMMUNITY SERVICES,2025-03-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CESN,0.57
AGD COMMUNITY SERVICES,2025-03-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,CSAC,0.01
AGD COMMUNITY SERVICES,2025-03-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,MENU,0.01
AGD COMMUNITY SERVICES,2025-03-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,X,0.0
AGD COMMUNITY SERVICES,2025-03-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZCL,0.25
AGD COMMUNITY SERVICES,2025-03-01,CPU Usage,CICS,CPU USAGE,CICS SYSTEM,ZZNE,1.7
